Madera,Rata
Madera,Buey
Fuego,Tigre
Fuego,Conejo
Tierra,Dragón
Tierra,Serpiente
Metal,Caballo
Metal,Cabra
Agua,Mono
Agua,Gallo
Madera,Perro
Madera,Cerdo
Fuego,Rata
Fuego,Buey
Tierra,Tigre
Tierra,Conejo
Metal,Dragón
Metal,Serpiente
Agua,Caballo
Agua,Cabra
Madera,Mono
Madera,Gallo
Fuego,Perro
Fuego,Cerdo
Tierra,Rata
Tierra,Buey
Metal,Tigre
Metal,Conejo
Agua,Dragón
Agua,Serpiente
Madera,Caballo
Madera,Cabra
Fuego,Mono
Fuego,Gallo
Tierra,Perro
Tierra,Cerdo
Metal,Rata
Metal,Buey
Agua,Tigre
Agua,Conejo
Madera,Dragón
Madera,Serpiente
Fuego,Caballo
Fuego,Cabra
Tierra,Mono
Tierra,Gallo
Metal,Perro
Metal,Cerdo
Agua,Rata
Agua,Buey
Madera,Tigre
Madera,Conejo
Fuego,Dragón
Fuego,Serpiente
Tierra,Caballo
Tierra,Cabra
Metal,Mono
Metal,Gallo
Agua,Perro
Agua,Cerdo
Madera,Rata
Madera,Buey
Fuego,Tigre
Fuego,Conejo
Tierra,Dragón
Tierra,Serpiente
Metal,Caballo
Metal,Cabra
Agua,Mono
Agua,Gallo
Madera,Perro
Madera,Cerdo
Fuego,Rata
Fuego,Buey
Tierra,Tigre
Tierra,Conejo
Metal,Dragón
Metal,Serpiente
Agua,Caballo
Agua,Cabra
Madera,Mono
Madera,Gallo
Fuego,Perro
Fuego,Cerdo
Tierra,Rata
Tierra,Buey
Metal,Tigre
Metal,Conejo
Agua,Dragón
Agua,Serpiente
Madera,Caballo
Madera,Cabra
Fuego,Mono
Fuego,Gallo
Tierra,Perro
Tierra,Cerdo
Metal,Rata
Metal,Buey
Agua,Tigre
Agua,Conejo
Madera,Dragón
Madera,Serpiente
Fuego,Caballo
Fuego,Cabra
Tierra,Mono
Tierra,Gallo
Metal,Perro
Metal,Cerdo
Agua,Rata
Agua,Buey
Madera,Tigre
Madera,Conejo
Fuego,Dragón
Fuego,Serpiente
Tierra,Caballo
Tierra,Cabra
Metal,Mono
Metal,Gallo
Agua,Perro
Agua,Cerdo
